Station_Code,noise_change_pct,Period,pop_den_30s,latitude,longitude
AF.RUDU,-43.531094164615695,Pós-Lockdown (Vermelho),978.0,-17.909599,19.764799
AK.FA12,1.5260566810960228,Pós-Lockdown (Vermelho),663.0,64.826897,-147.868393
AM.R091F,-28.655211073315808,Pós-Lockdown (Vermelho),2869.0,51.44144144,-0.332469395
AM.R0AC9,-75.34741693653217,Pós-Lockdown (Vermelho),1726.0,-3.324324324,37.32427805
AM.R0CEA,-82.23986184079627,Pós-Lockdown (Vermelho),314.0,27.3963964,84.29436918
AM.R10DC,-66.09301814655285,Pós-Lockdown (Vermelho),11306.0,42.27027027,-83.73515475
AM.R1983,-20.31145964903468,Pós-Lockdown (Vermelho),17336.0,35.6036036,139.6802235
AM.R1AE4,-45.86904272112855,Pós-Lockdown (Vermelho),431.0,64.0990991,-21.88313594
AM.R1D8F,-104.50590372993948,Pós-Lockdown (Vermelho),883.0,14.07207207,-87.18585636
AM.R25AC,-53.282033132666946,Pós-Lockdown (Vermelho),2368.0,49.28828829,-123.1088037
AM.R2D80,-15.49170340461302,Pós-Lockdown (Vermelho),11364.0,35.64864865,139.5453417
AM.R31ED,-47.7318415912035,Pós-Lockdown (Vermelho),5641.0,37.74774775,-122.4921433
AM.R39DB,-97.76569761722651,Pós-Lockdown (Vermelho),7832.0,6.189189189,-75.57661584
AM.R3EE8,-6.594519844539434,Pós-Lockdown (Vermelho),9167.0,25.06306306,121.5752277
AM.R40AC,9.718840491481714,Pós-Lockdown (Vermelho),31.0,-5.315315315,151.0208366
AM.R45D7,-17.521027456303457,Pós-Lockdown (Vermelho),0.0,38.886,-77.027
AM.R4989,-270.329871792017,Pós-Lockdown (Vermelho),2066.0,44.894914,-68.667412
AM.R49B6,-24.53370046418195,Pós-Lockdown (Vermelho),16432.0,18.55855856,-72.29235928
AM.R5365,-11.63644064502325,Pós-Lockdown (Vermelho),434.0,47.5405,-122.1419
AM.R550B,4.202102610212211,Pós-Lockdown (Vermelho),17007.0,43.63963964,-79.39400533
AM.R5661,-86.97542827940373,Pós-Lockdown (Vermelho),6357.0,4.648648649,-74.04571098
AM.R57EC,-67.81276069319028,Pós-Lockdown (Vermelho),1017.0,42.33333333,-71.1612003
AM.R6EC4,-683.8899719103308,Pós-Lockdown (Vermelho),609.0,27.7027027,84.39567337
AM.R7184,-138.33543945933184,Pós-Lockdown (Vermelho),1797.0,5.954954955,116.0871007
AM.R7A15,-57.924499734407355,Pós-Lockdown (Vermelho),85.0,36.7027027,48.50000251
AM.R7FA5,-130.14238767327913,Pós-Lockdown (Vermelho),173.0,50.25225225,-5.030897567
AM.R8473,-44.39788764368266,Pós-Lockdown (Vermelho),2041.0,12.52252252,-70.01701714
AM.R85CD,-0.44540150182822913,Pós-Lockdown (Vermelho),2349.0,41.8209,-87.7747
AM.R86AD,-156.6597625644242,Pós-Lockdown (Vermelho),1191.0,14.43243243,-89.17589773
AM.R87FD,-48.839077495626235,Pós-Lockdown (Vermelho),102.0,62.18018018,-6.737750225
AM.R8C46,-543.4860546927401,Pós-Lockdown (Vermelho),1137.0,27.6036036,84.60611444
AM.R92E0,-36.18652103166601,Pós-Lockdown (Vermelho),15.0,56.94594595,-2.263031702
AM.R940D,-103.51176049072564,Pós-Lockdown (Vermelho),76.0,8.72972973,-82.42519259
AM.R99D0,29.1620863724784,Pós-Lockdown (Vermelho),6291.0,57.67567568,11.99637537
AM.R9F13,22.148524494792227,Pós-Lockdown (Vermelho),995.0,52.21621622,21.13199727
AM.RA2DE,-78.90898719241292,Pós-Lockdown (Vermelho),1017.0,42.33333333,-71.1612003
AM.RAC22,-33.25976639024878,Pós-Lockdown (Vermelho),584.0,38.878908,-77.342648
AM.RAE6A,-1.8560150165499536,Pós-Lockdown (Vermelho),4706.0,39.76,-104.97
AM.RB53D,-27.03628380766434,Pós-Lockdown (Vermelho),5.0,41.712273,-73.205846
AM.RB669,-3.32548565975069,Pós-Lockdown (Vermelho),247.0,-43.90990991,171.7359847
AM.RB77C,-25.56929976166337,Pós-Lockdown (Vermelho),6279.0,47.6126,-122.3344
AM.RBB7B,-68.66882611677006,Pós-Lockdown (Vermelho),131.0,28.40540541,83.37772257
AM.RBC24,-24.67378356848383,Pós-Lockdown (Vermelho),392.0,15.30630631,-61.34930843
AM.RCABD,-25.07286725158348,Pós-Lockdown (Vermelho),148.0,42.3848,-71.3218
AM.RCC68,-100.82339054049001,Pós-Lockdown (Vermelho),8365.0,6.252252252,-75.58566991
AM.RCCD1,-59.771114357275664,Pós-Lockdown (Vermelho),207.0,17.99099099,-66.61079735
AM.RD2D3,-112.97132294036658,Pós-Lockdown (Vermelho),1515.0,13.4954955,144.7840609
AM.RD6BB,-34.44025482091274,Pós-Lockdown (Vermelho),5.0,39.18918919,-123.2215051
AM.RDABA,-26.53048205948423,Pós-Lockdown (Vermelho),3662.0,40.2703,-74.7761
AM.REAF3,-174.4187254491623,Pós-Lockdown (Vermelho),48316.0,22.26126126,114.2473283
AM.RFBE4,-145.21022077012458,Pós-Lockdown (Vermelho),1390.0,21.57657658,39.21692875
AM.S0C34,-18.784002615562404,Pós-Lockdown (Vermelho),3344.902,38.716376,-9.217416
AM.S4458,9.029715671642705,Pós-Lockdown (Vermelho),2028.0,36.79279279,127.1160104
AU.GHSS,-26.472099117277555,Pós-Lockdown (Vermelho),1573.0,-34.919399,138.6017
BE.UCC,-14.670419501450146,Pós-Lockdown (Vermelho),3866.0,50.797241,4.36038
BK.BKS,-20.99717789188177,Pós-Lockdown (Vermelho),37.0,37.87622,-122.23558
BK.BRK,-57.47061269656227,Pós-Lockdown (Vermelho),4808.0,37.87352,-122.26099
BK.JRSC,-25.785880717920712,Pós-Lockdown (Vermelho),68.0,37.4,-122.24
BW.MNH,15.208500946439827,Pós-Lockdown (Vermelho),4862.0,48.15,11.6
BW.ZUGS,-79.36484401131143,Pós-Lockdown (Vermelho),106.0,47.416309,10.97883
BX.KOOLE,-44.908901543955416,Pós-Lockdown (Vermelho),1.0,-22.993059,20.195551
C1.MG01,-69.28298976926399,Pós-Lockdown (Vermelho),0.0,-54.93,-67.63
C1.MT14,-49.22640345890688,Pós-Lockdown (Vermelho),3430.0,-33.4,-70.54
CA.ICJA,-52.590017947408384,Pós-Lockdown (Vermelho),18302.0,41.3844,2.1189
CA.POBL,-43.37052807667795,Pós-Lockdown (Vermelho),61.0,41.379251,1.083477
CH.SBERN,1.8489460221250305,Pós-Lockdown (Vermelho),2453.0,46.94582,7.43954
CH.SEPFL,-74.11338170573488,Pós-Lockdown (Vermelho),2374.0,46.521239,6.565748
CH.SGEV,-25.84208431541626,Pós-Lockdown (Vermelho),13291.0,46.20062,6.13676
CH.SKLW,-281.32099680673116,Pós-Lockdown (Vermelho),1052.0,47.463,8.56745
CH.SLOP,-45.2680305478094,Pós-Lockdown (Vermelho),972.0,46.16384,8.79055
CH.SZUZ,-119.10654197922074,Pós-Lockdown (Vermelho),4708.0,47.377497,8.530235
CI.SBC,-33.22222770340529,Pós-Lockdown (Vermelho),1058.0,34.440762,-119.71492
CI.USC,-43.452918913020156,Pós-Lockdown (Vermelho),2816.0,34.019192,-118.286308
CN.MNTQ,-34.80612773688641,Pós-Lockdown (Vermelho),7040.0,45.5003,-73.6228
CQ.MVOU,13.660076187601533,Pós-Lockdown (Vermelho),46.0,35.016,33.632
CU.BBGH,-88.53803387079518,Pós-Lockdown (Vermelho),472.0,13.1434,-59.5588
CU.TGUH,-52.24967460160425,Pós-Lockdown (Vermelho),883.0,14.057,-87.273
FR.CURIE,-60.02852141284991,Pós-Lockdown (Vermelho),27905.0,48.8445,2.3558
G.FDFM,-32.3370743763205,Pós-Lockdown (Vermelho),109.0,14.73493,-61.159728
GB.EDI,-87.25348742176445,Pós-Lockdown (Vermelho),182.0,55.923328,-3.1875
GB.GAT2,-87.78067086191845,Pós-Lockdown (Vermelho),81.0,51.145,-0.224
GE.ACRG,-77.5356127914953,Pós-Lockdown (Vermelho),16136.0,5.641485,-0.207117
GE.SALP,-27.277067068205238,Pós-Lockdown (Vermelho),635.0,32.0686,35.1914
GE.STU,-0.36105676384368834,Pós-Lockdown (Vermelho),16136.0,5.641485,-0.207117
GE.WLF,-33.527238584314986,Pós-Lockdown (Vermelho),857.0,49.6646,6.1526
GO.TBLG,-131.0284191401023,Pós-Lockdown (Vermelho),2104.0,41.730919,44.73819
GR.BFO,-5.2524241091007084,Pós-Lockdown (Vermelho),41.0,48.3301,8.3296
GR.BUG,-19.621879195764876,Pós-Lockdown (Vermelho),2348.0,51.4412,7.2707
HK.HKPS,-13.175248214886498,Pós-Lockdown (Vermelho),12830.0,22.277599,114.141502
HL.ATH,-78.82806331973867,Pós-Lockdown (Vermelho),16736.0,37.97384,23.71767
HT.THE,-79.43133536235248,Pós-Lockdown (Vermelho),16147.0,40.6319,22.9628
II.MSEY,-57.40131011665919,Pós-Lockdown (Vermelho),352.0,-4.6737,55.4792
II.NIL,-60.96526081908637,Pós-Lockdown (Vermelho),2.0,-24.08794,-58.22915
II.NNA,-80.16836293796922,Pós-Lockdown (Vermelho),1110.0,-11.9875,-76.8422
II.SACV,-67.36873712580136,Pós-Lockdown (Vermelho),63.0,14.9702,-23.6085
II.TAU,-23.44354818650698,Pós-Lockdown (Vermelho),1062.0,-42.9099,147.3204
IN.PBA,-95.07337253646848,Pós-Lockdown (Vermelho),382.0,11.655733,92.743919
IN.SHL,-166.7094390227589,Pós-Lockdown (Vermelho),2544.0,25.566816,91.855949
IS.AMAZ,3.954747888188699,Pós-Lockdown (Vermelho),146.0,31.5325,34.9154
IU.DAV,-43.18702438317628,Pós-Lockdown (Vermelho),37.0,5.177,118.498
IU.KONO,-0.1307096170575761,Pós-Lockdown (Vermelho),36.0,59.6491,9.5982
IU.OTAV,-88.32785580132304,Pós-Lockdown (Vermelho),26.0,0.2376,-78.4508
IV.CMSN,-57.262160654778754,Pós-Lockdown (Vermelho),899.0,40.8382,14.1818
IV.FIR,-195.87406750912038,Pós-Lockdown (Vermelho),8271.0,43.774366,11.255134
IV.MILN,-39.00450620086869,Pós-Lockdown (Vermelho),8950.0,45.4803,9.2321
KO.ANTB,17.915173272928293,Pós-Lockdown (Vermelho),202.0,36.8998,30.6538
KO.SAUV,-83.98255750553076,Pós-Lockdown (Vermelho),765.0,40.7402,30.3272
KV.GOM,-83.97568731967185,Pós-Lockdown (Vermelho),5936.0,-1.681242,29.226703
LD.CPNY,-48.909175265709756,Pós-Lockdown (Vermelho),5100.0,40.7911,-73.960197
MD.KIS,-45.88349274527023,Pós-Lockdown (Vermelho),1214.0,46.9975,28.8175
MN.RTC,-50.522191943001964,Pós-Lockdown (Vermelho),2494.0,33.9881,-6.8569
MQ.ZAM,-48.287683007618554,Pós-Lockdown (Vermelho),569.0,14.58501,-61.02243
NC.MCY,-229.5267418103309,Pós-Lockdown (Vermelho),0.0,37.642929,-119.029137
NC.MLI,-111.30605665885747,Pós-Lockdown (Vermelho),0.0,37.636761,-119.017906
NE.BCX,-76.41612824555017,Pós-Lockdown (Vermelho),6554.0,42.335,-71.1705
NE.WES,-25.712641467180838,Pós-Lockdown (Vermelho),148.0,42.3848,-71.3218
NE.WSPT,-68.42755508718741,Pós-Lockdown (Vermelho),391.0,41.1712,-73.327797
NL.ALK1,-63.36552297652093,Pós-Lockdown (Vermelho),3043.0,52.633821,4.744356
NP.1799,-54.82121846669338,Pós-Lockdown (Vermelho),2197.0,37.271133,-121.986237
NS.BER,0.6966264339949362,Pós-Lockdown (Vermelho),618.0,60.38381,5.33389
NS.DOMB,19.053973606914155,Pós-Lockdown (Vermelho),2.0,62.0732,9.1122
NS.HOMB,-32.95698760890626,Pós-Lockdown (Vermelho),84.0,58.2702,8.5052
NS.ODLO,-12.533169875818182,Pós-Lockdown (Vermelho),603.0,63.455,10.4458
NS.STAV,-39.659045112411285,Pós-Lockdown (Vermelho),1227.0,58.9348,5.7022
NS.TRO,20.40437655711301,Pós-Lockdown (Vermelho),31.0,69.6345,18.9077
OE.DAVA,-108.14715533913201,Pós-Lockdown (Vermelho),15.0,47.2867,9.8803
OE.VIE,-16.831776171715383,Pós-Lockdown (Vermelho),4625.0,48.2483,16.3617
ON.TIJ01,-18.905554476372764,Pós-Lockdown (Vermelho),13.0,-25.908848,-49.024242
PA.BRU2,-35.78110979649735,Pós-Lockdown (Vermelho),68.0,8.794,-82.687798
