Station_Code,Lockdown,Pre-Lockdown,pop_den_30s,latitude,longitude,noise_reduction_abs,noise_reduction_pct
AF.RUDU,2.813568269389634e-09,3.240469483128245e-09,978.0,-17.909599,19.764799,4.2690121373861117e-10,13.174054437522258
AK.FA12,1.6027903264604677e-08,2.1491200012005595e-08,663.0,64.826897,-147.868393,5.463296747400918e-09,25.421087442064493
AM.R091F,4.2278993176212346e-08,5.552009527619143e-08,2869.0,51.44144144,-0.332469395,1.3241102099979083e-08,23.84920637133207
AM.R0AC9,9.328816419527916e-09,7.66348055133383e-09,1726.0,-3.324324324,37.32427805,-1.6653358681940864e-09,-21.73080308665016
AM.R0CEA,4.666783939525434e-09,1.2639134184842284e-08,314.0,27.3963964,84.29436918,7.972350245316851e-09,63.076711812094224
AM.R10DC,8.350790514724038e-08,1.3265398081201083e-07,11306.0,42.27027027,-83.73515475,4.914607566477045e-08,37.048323287348076
AM.R1983,1.1415696994027792e-07,1.4314749610043701e-07,17336.0,35.6036036,139.6802235,2.8990526160159093e-08,20.252206255719894
AM.R1AE4,8.05190154752585e-10,5.8471195833872125e-09,431.0,64.0990991,-21.88313594,5.0419294286346275e-09,86.22928532126683
AM.R1D8F,4.371497640071523e-08,7.214721097891772e-08,883.0,14.07207207,-87.18585636,2.8432234578202492e-08,39.40863990780008
AM.R25AC,1.584219728790609e-08,2.3917841020943014e-08,2368.0,49.28828829,-123.1088037,8.075643733036925e-09,33.76409988663151
AM.R2D80,6.427052511441475e-08,6.706054467240064e-08,11364.0,35.64864865,139.5453417,2.790019557985882e-09,4.160448698434356
AM.R31ED,5.517269455482644e-08,7.311100085570017e-08,5641.0,37.74774775,-122.4921433,1.793830630087373e-08,24.5357143123765
AM.R39DB,1.610639388563534e-08,1.9702764872080587e-08,7832.0,6.189189189,-75.57661584,3.5963709864452465e-09,18.253128481177853
AM.R3EE8,2.678363504408616e-07,3.0062197868240884e-07,9167.0,25.06306306,121.5752277,3.278562824154726e-08,10.905931890024426
AM.R40AC,1.822462511639648e-07,7.923083015570649e-08,31.0,-5.315315315,151.0208366,-1.0301542100825832e-07,-130.01936342937432
AM.R45D7,4.097462810038774e-08,6.153544932014979e-08,0.0,38.886,-77.027,2.056082121976205e-08,33.41296999846462
AM.R4989,1.0096717875714685e-07,1.6900365225586224e-07,2066.0,44.894914,-68.667412,6.80364734987154e-08,40.25739834054705
AM.R49B6,3.0513301015690983e-07,2.7898966625570145e-07,16432.0,18.55855856,-72.29235928,-2.614334390120838e-08,-9.370721235691686
AM.R5365,1.862789934531605e-09,2.131657440609738e-09,434.0,47.5405,-122.1419,2.688675060781328e-10,12.613072858518306
AM.R550B,2.0504066984837383e-08,1.9372739262189818e-08,17007.0,43.63963964,-79.39400533,-1.1313277226475655e-09,-5.839792232457294
AM.R5661,1.6152883379920814e-08,2.0608851444570157e-08,6357.0,4.648648649,-74.04571098,4.455968064649343e-09,21.62162251804364
AM.R57EC,8.509428814872725e-08,1.0872048306506582e-07,1017.0,42.33333333,-71.1612003,2.3626194916338564e-08,21.731134971318166
AM.R6EC4,2.7842931768717738e-08,7.494351733094105e-08,609.0,27.7027027,84.39567337,4.710058556222331e-08,62.84811180429804
AM.R7184,2.9501160153169112e-08,9.537846202696322e-09,1797.0,5.954954955,116.0871007,-1.996331395047279e-08,-209.3063101062504
AM.R7A15,2.7199660192918376e-09,3.420977184732576e-09,85.0,36.7027027,48.50000251,7.010111654407383e-10,20.49154751950027
AM.R7FA5,8.851424995918035e-10,2.459160934255038e-09,173.0,50.25225225,-5.030897567,1.5740184346632346e-09,64.00632072256212
AM.R8473,1.25176804600775e-07,9.753257953281463e-08,2041.0,12.52252252,-70.01701714,-2.7644225067960367e-08,-28.343580371171797
AM.R85CD,6.68988330029153e-08,7.60412418663394e-08,2349.0,41.8209,-87.7747,9.142408863424095e-09,12.022961013043497
AM.R86AD,4.9038093731599934e-09,7.92810816841984e-09,1191.0,14.43243243,-89.17589773,3.024298795259847e-09,38.146538001418605
AM.R87FD,1.2307672252860583e-09,1.4329885205823468e-09,102.0,62.18018018,-6.737750225,2.0222129529628847e-10,14.111857310211287
AM.R8C46,3.34826819862619e-08,8.446821102390082e-08,1137.0,27.6036036,84.60611444,5.098552903763892e-08,60.36061190311257
AM.R92E0,3.5724730144932444e-09,7.725044093992317e-09,15.0,56.94594595,-2.263031702,4.152571079499073e-09,53.754658600958436
AM.R940D,2.3430881832552527e-08,5.617872184720859e-08,76.0,8.72972973,-82.42519259,3.2747840014656064e-08,58.29224827101195
AM.R99D0,3.944146127227121e-08,3.6376473335185644e-08,6291.0,57.67567568,11.99637537,-3.0649879370855665e-09,-8.425742399060205
AM.R9F13,2.2392571798019425e-08,2.980326406132699e-08,995.0,52.21621622,21.13199727,7.410692263307564e-09,24.865371283019137
AM.RA2DE,7.664886245993053e-08,1.2648927046085802e-07,1017.0,42.33333333,-71.1612003,4.984040800092749e-08,39.40287410887594
